,add,latitude,longitude,nearest_sch_index,distance_to_nearest_sch,nearest_sch_lat,nearest_sch_lon,nearest_sch_name,nearest_mrt_index,distance_to_nearest_mrt,nearest_mrt_lat,nearest_mrt_lon,nearest_mrt_name,walk_time_to_school,walk_distance_to_school,walk_time_to_mrt,walk_distance_to_mrt,line
673,564 ANG MO KIO AVE 3,1.36984837555524,103.859404131956,17,1766.5499407923346,1.37289067499064,103.875001549174,ROSYTH SCHOOL,16,1054.314871941148,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1561.0,2168.0,831.0,1155.0,NS
674,560 ANG MO KIO AVE 10,1.37081626777721,103.859192334256,17,1772.4735942049,1.37289067499064,103.875001549174,ROSYTH SCHOOL,16,1042.1772285652778,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,2049.0,2846.0,891.0,1237.0,NS
675,513 ANG MO KIO AVE 8,1.37273696913231,103.850194854525,3,1774.023221026065,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,16,378.0359791071671,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1693.0,2352.0,415.0,576.0,NS
676,524 ANG MO KIO AVE 5,1.3733782941643,103.853042534069,3,2088.699449273518,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,16,566.031167204298,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,2029.0,2819.0,690.0,959.0,NS
677,607 ANG MO KIO AVE 4,1.38046758670091,103.838816721629,3,928.2150428326946,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,167,573.6456531549653,1.3850619469262857,103.8364694869142,LENTOR MRT STATION,1068.0,1483.0,505.0,702.0,TE
678,610 ANG MO KIO AVE 4,1.37939470300077,103.839157232686,3,854.5069485185837,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,39,695.1349885338236,1.3817560461130038,103.84494728975424,YIO CHU KANG MRT STATION,941.0,1306.0,701.0,975.0,NS
679,503 ANG MO KIO AVE 5,1.37546163119278,103.848942047568,3,1647.6946053403776,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,16,688.7483313198776,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1607.0,2232.0,710.0,986.0,NS
680,505 ANG MO KIO AVE 8,1.3748597302123,103.850224901404,3,1782.0998245922342,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,16,613.8121726774061,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1767.0,2455.0,628.0,872.0,NS
681,611 ANG MO KIO AVE 5,1.37829205175133,103.83725190016,3,630.7065307920651,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,168,691.6485569641765,1.3720866386742012,103.83682393201484,MAYFLOWER MRT STATION,745.0,1034.0,743.0,1032.0,TE
682,608 ANG MO KIO AVE 5,1.37858209980487,103.836760311526,3,632.3943688933402,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,167,721.2510309901995,1.3850619469262857,103.8364694869142,LENTOR MRT STATION,740.0,1027.0,692.0,960.0,TE
